captured_at,static_rank,team_name,team_id,submission_id,leaderboard_score,episodes,wins,losses,draws,win_rate,win_rate_wilson_lcb95,sample_sufficiency_to_500,selection_score_65_lcb_35_volume,window_censored,archetype,deck_sha256,strict_500_eligible,strict_win_rate_order,mandatory_lumen,meets_200_episode_floor,selected_roster_order,package_name,sample_episode_id
2026-07-22T21:15:27.634743+00:00,55,Team KASA.,16372307,54912473,1030.6,2,1,1,0,0.5,0.09453120573423071,0.004,0.06284528372724997,False,Dragapult ex,483f0d89f338a87bd99001559cd01424464e3b4d60ed5271c78544a8d45b849f,False,,False,False,,rank_055_dragapult_ex_bc,87534838
2026-07-22T21:15:27.634743+00:00,56,f,16383019,54906845,1030.5,69,38,31,0,0.5507246376811594,0.4337876750268812,0.138,0.3302619887674728,False,Marnie's Grimmsnarl ex / Froslass,e2e03fe8ef9592b1204c159a7725da3945675fa872b1e18baca550560503a78e,False,,False,False,,rank_056_marnies_grimmsnarl_ex_bc,87535007
2026-07-22T21:15:27.634743+00:00,57,ei ei ei yikuso,16473179,54844722,1030.1,469,265,204,0,0.5650319829424307,0.519816171638351,0.938,0.6661805115649282,False,Alakazam / Dudunsparce,d724460166609141e935e0f095087b9092f1acef624ae7cbc3e1d38fcb954163,False,,False,True,7,rank_057_alakazam_bc,87534114
2026-07-22T21:15:27.634743+00:00,58,palsystem,16406979,54810263,1028.6,459,247,211,1,0.5381263616557734,0.4934779356780164,0.918,0.6420606581907107,False,Team Rocket's Mewtwo ex / Spidops,c5ab79d769793f679c85c5b56dd940300580b4fa4dcdfe9fa3b5a2ba6d14caca,False,,False,True,10,rank_058_team_rockets_mewtwo_ex_bc,87535217
2026-07-22T21:15:27.634743+00:00,59,李秉叡（ntumlnoob）,16536318,54870663,1028.5,186,109,76,1,0.5860215053763441,0.5168949440607137,0.372,0.46618171363946387,False,Marnie's Grimmsnarl ex / Froslass,e2e03fe8ef9592b1204c159a7725da3945675fa872b1e18baca550560503a78e,False,,False,False,,rank_059_marnies_grimmsnarl_ex_bc,87535077
2026-07-22T21:15:27.634743+00:00,60,jp_nerdery,16417863,54912298,1028.3,6,4,2,0,0.6666666666666666,0.299993315138392,0.012,0.19919565483995483,False,Alakazam / Dudunsparce,87bed7987bdc4c0666f0735af0d66ce8d3a1e46155532e1aa68aea1abb85052b,False,,False,False,,rank_060_alakazam_bc,87534847
2026-07-22T21:15:27.634743+00:00,61,WinDecks,16393241,54760878,1027.8,334,180,154,0,0.5389221556886228,0.4853230336870911,0.668,0.5492599718966092,False,Mega Starmie ex / Dusknoir,b15853cdfb8304f39f879638102a7fd161f1102d81e6d3f36d5beca4db9e01b0,False,,False,True,14,rank_061_mega_starmie_ex_bc,87532718
2026-07-22T21:15:27.634743+00:00,62,miya,16388364,54887898,1027.6,102,60,42,0,0.5882352941176471,0.49121758750151573,0.204,0.3906914318759852,False,Alakazam / Dudunsparce,f1776ee333fe625be829c895cbea25cf1673250f957e40d6c0b1bd58541cb8e6,False,,False,False,,rank_062_alakazam_bc,87533929
2026-07-22T21:15:27.634743+00:00,63,Kohecchi,16376598,54904666,1025.0,73,47,26,0,0.6438356164383562,0.5293349749798597,0.146,0.3951677337369088,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_063_alakazam_bc,87534051
2026-07-22T21:15:27.634743+00:00,64,tonakaiiii,16420537,54911416,1024.3,24,11,13,0,0.4583333333333333,0.2789133373121098,0.048,0.1980936692528714,False,Dragapult ex / Dudunsparce,bed42a916ab281060eea8f0514231d1f3701fdba90e6639995820d73f99c4b92,False,,False,False,,rank_064_dragapult_ex_dudunsparce_bc,87534921
